"V1","V2"
"Boris Banga","François Borel"
"Christian Grobet","François Borel"
"Christiane Jaquet-Berger","François Borel"
"Christine Keller","François Borel"
"Claude Frey","François Borel"
"Didier Berberat","François Borel"
"Franco Cavalli","François Borel"
"Didier Berberat","François Lachat"
"Franco Cavalli","François Lachat"
"Brigitta M. Gadient","François Loeb"
"Christine Egerszegi-Obrist","François Loeb"
"Christoph Blocher","François Loeb"
"Claude Frey","François Loeb"
"Dorle Vallender","François Loeb"
"Duri Bezzola","François Loeb"
"Erich Müller","François Loeb"
"Eugen David","François Loeb"
"Cécile Bühlmann","Franziska Teuscher"
"Alexander Tschäppät","Fredi Alder"
"Andrea Hämmerle","Fredi Alder"
"Andreas Gross","Fredi Alder"
"Angeline Fankhauser","Fredi Alder"
"Anita Thanei","Fredi Alder"
"Armin Jans","Fredi Alder"
"Barbara Haering","Fredi Alder"
"Christine Keller","Fredi Alder"
"Didier Berberat","Fredi Alder"
"Franco Cavalli","Fredi Alder"
"François Borel","Fredi Alder"
"Ernst Hasler","Fritz Abraham Oehrli"
"Flavio Maspoli","Fulvio Caccia"
"Franco Cavalli","Fulvio Caccia"
"Claude Frey","Fulvio Pelli"
"Flavio Maspoli","Fulvio Pelli"
"Christine Egerszegi-Obrist","Georg Stucky"
"François Loeb","Georg Stucky"
"Christine Egerszegi-Obrist","Georges Theiler"
"François Loeb","Georges Theiler"
"Christine Egerszegi-Obrist","Gerold Bührer"
"François Loeb","Gerold Bührer"
"Albrecht Rychen","Hans Fehr"
"Alex Heim","Hans Fehr"
"Caspar Baader","Hans Fehr"
"Charles Friderici","Hans Fehr"
"Charles-Albert Antille","Hans Fehr"
"Christian Speck","Hans Fehr"
"Christian Waber","Hans Fehr"
"Christine Egerszegi-Obrist","Hans Fehr"
"Christoph Blocher","Hans Fehr"
"Claude Frey","Hans Fehr"
"Daniel Vogel","Hans Fehr"
"Duri Bezzola","Hans Fehr"
"Emmanuella Blaser","Hans Fehr"
"Erich Müller","Hans Fehr"
"Ernst Hasler","Hans Fehr"
"Ernst Mühlemann","Hans Fehr"
"Flavio Maspoli","Hans Fehr"
"François Loeb","Hans Fehr"
"Fritz Abraham Oehrli","Hans Fehr"
"Georg Stucky","Hans Fehr"
"Georges Theiler","Hans Fehr"
"Gerold Bührer","Hans Fehr"
"Gilbert Debons","Hans Fehr"
"Franziska Teuscher","Hans Meier"
"Adalbert Durrer","Hans Rudolf Gysin"
"Albrecht Rychen","Hans Rudolf Gysin"
"Bernard Comby","Hans Rudolf Gysin"
"Caspar Baader","Hans Rudolf Gysin"
"Charles-Albert Antille","Hans Rudolf Gysin"
"Christian Speck","Hans Rudolf Gysin"
"Christine Egerszegi-Obrist","Hans Rudolf Gysin"
"Claude Frey","Hans Rudolf Gysin"
"Daniel Vogel","Hans Rudolf Gysin"
"Dorle Vallender","Hans Rudolf Gysin"
"Duri Bezzola","Hans Rudolf Gysin"
"Edi Engelberger","Hans Rudolf Gysin"
"Ernst Hasler","Hans Rudolf Gysin"
"Ernst Leuenberger","Hans Rudolf Gysin"
"Ernst Mühlemann","Hans Rudolf Gysin"
"Flavio Maspoli","Hans Rudolf Gysin"
"François Loeb","Hans Rudolf Gysin"
"Fritz Abraham Oehrli","Hans Rudolf Gysin"
"Georges Theiler","Hans Rudolf Gysin"
"Gerold Bührer","Hans Rudolf Gysin"
"Hans Fehr","Hans Rudolf Gysin"
"Hans Ruckstuhl","Hans Rudolf Gysin"
"Flavio Maspoli","Hans Steffen"
"Hans Fehr","Hans Steffen"
"Hans Rudolf Gysin","Hans Steffen"
"Adalbert Durrer","Hans Werner Widrig"
"Albrecht Rychen","Hans Werner Widrig"
"Claude Frey","Hans Werner Widrig"
"Dorle Vallender","Hans Werner Widrig"
"Duri Bezzola","Hans Werner Widrig"
"Hans Rudolf Gysin","Hans Werner Widrig"
"Alexander Tschäppät","Hans Widmer"
"Andreas Gross","Hans Widmer"
"Anita Thanei","Hans Widmer"
"Barbara Haering","Hans Widmer"
"Christine Keller","Hans Widmer"
"Claude Frey","Hans Widmer"
"Didier Berberat","Hans Widmer"
"Flavio Maspoli","Hans Widmer"
"Franco Cavalli","Hans Widmer"
"François Borel","Hans Widmer"
"Agnes Weber","Hans Zbinden"
"Alexander Tschäppät","Hans Zbinden"
"Andrea Hämmerle","Hans Zbinden"
"Andreas Gross","Hans Zbinden"
"Andreas Herczog","Hans Zbinden"
"Angeline Fankhauser","Hans Zbinden"
