"V1","V2"
"Angeline Fankhauser","Michel Béguelin"
"Anita Thanei","Michel Béguelin"
"Christian Grobet","Michel Béguelin"
"Christiane Jaquet-Berger","Michel Béguelin"
"Claude Frey","Michel Béguelin"
"Didier Berberat","Michel Béguelin"
"Jacqueline Fehr","Michel Béguelin"
"Jean-Claude Rennwald","Michel Béguelin"
"Christine Egerszegi-Obrist","Milli Wittenwiler"
"Hans Fehr","Milli Wittenwiler"
"Hans Rudolf Gysin","Milli Wittenwiler"
"Adalbert Durrer","Norbert Hochreutener"
"Albrecht Rychen","Norbert Hochreutener"
"Alex Heim","Norbert Hochreutener"
"Eugen David","Norbert Hochreutener"
"Flavio Maspoli","Norbert Hochreutener"
"Hans Werner Widrig","Norbert Hochreutener"
"Hansueli Raggenbass","Norbert Hochreutener"
"Josef Leu","Norbert Hochreutener"
"Josef Lötscher","Norbert Hochreutener"
"Judith Stamm","Norbert Hochreutener"
"Melchior Ehrler","Norbert Hochreutener"
"Hans Werner Widrig","Odilo Schmid"
"Hansueli Raggenbass","Odilo Schmid"
"Hugo Fasel","Odilo Schmid"
"Jean-Charles Simon","Odilo Schmid"
"François Loeb","Oscar Fritschi"
"Hans Fehr","Oscar Fritschi"
"Hans Rudolf Gysin","Oscar Fritschi"
"Hans Werner Widrig","Oscar Fritschi"
"Hans Werner Widrig","Otto G. Loretan"
"Jean-Charles Simon","Otto G. Loretan"
"Ernst Hasler","Otto Hess"
"Hans Fehr","Otto Hess"
"Hans Rudolf Gysin","Otto Hess"
"Josef Kunz","Otto Hess"
"Agnes Weber","Otto Zwygart"
"François Borel","Otto Zwygart"
"Hans Widmer","Otto Zwygart"
"Hanspeter Seiler","Otto Zwygart"
"Jost Gross","Otto Zwygart"
"Max Dünki","Otto Zwygart"
"François Loeb","Pascal Couchepin"
"Agnes Weber","Paul Günter"
"Alexander Tschäppät","Paul Günter"
"Andrea Hämmerle","Paul Günter"
"Andreas Gross","Paul Günter"
"Andreas Herczog","Paul Günter"
"Angeline Fankhauser","Paul Günter"
"Anita Thanei","Paul Günter"
"Armin Jans","Paul Günter"
"Barbara Haering","Paul Günter"
"Boris Banga","Paul Günter"
"Cécile Bühlmann","Paul Günter"
"Didier Berberat","Paul Günter"
"Erwin Jutzet","Paul Günter"
"Franziska Teuscher","Paul Günter"
"Hans Meier","Paul Günter"
"Hansueli von Allmen","Paul Günter"
"Jacqueline Fehr","Paul Günter"
"Jean-Claude Rennwald","Paul Günter"
"Jost Gross","Paul Günter"
"Kathrin Hilber","Paul Günter"
"Liliane Maury Pasquier","Paul Günter"
"Maria Bernasconi","Paul Günter"
"Max Dünki","Paul Günter"
"Norbert Hochreutener","Paul Günter"
"Adriano Cavadini","Paul Rechsteiner"
"Andrea Hämmerle","Paul Rechsteiner"
"Andreas Gross","Paul Rechsteiner"
"Anita Thanei","Paul Rechsteiner"
"Armin Jans","Paul Rechsteiner"
"Charles Friderici","Paul Rechsteiner"
"Christine Keller","Paul Rechsteiner"
"Didier Berberat","Paul Rechsteiner"
"Franco Cavalli","Paul Rechsteiner"
"François Borel","Paul Rechsteiner"
"François Loeb","Paul Rechsteiner"
"Georg Stucky","Paul Rechsteiner"
"Jacques-Simon Eggly","Paul Rechsteiner"
"Jean-Nils de Dardel","Paul Rechsteiner"
"Jean-Philippe Maitre","Paul Rechsteiner"
"Jost Gross","Paul Rechsteiner"
"Maria Bernasconi","Paul Rechsteiner"
"Paul Günter","Paul Rechsteiner"
"Adalbert Durrer","Peter Baumberger"
"Alex Heim","Peter Baumberger"
"Andreas Herczog","Peter Baumberger"
"Christian Speck","Peter Baumberger"
"Christoph Eymann","Peter Baumberger"
"Dorle Vallender","Peter Baumberger"
"Edi Engelberger","Peter Baumberger"
"Erich Müller","Peter Baumberger"
"Ernst Hasler","Peter Baumberger"
"François Loeb","Peter Baumberger"
"Georg Stucky","Peter Baumberger"
"Georges Theiler","Peter Baumberger"
"Hans Ruckstuhl","Peter Baumberger"
"Hans Rudolf Gysin","Peter Baumberger"
"Hans Werner Widrig","Peter Baumberger"
"Hansueli Raggenbass","Peter Baumberger"
"J. Alexander Baumann","Peter Baumberger"
"Jean-Charles Simon","Peter Baumberger"
"Jean-Nicolas Philipona","Peter Baumberger"
"Josef Kühne","Peter Baumberger"
"Josef Leu","Peter Baumberger"
"Josef Lötscher","Peter Baumberger"
"Joseph Deiss","Peter Baumberger"
"Jürg Scherrer","Peter Baumberger"
"Luzi Stamm","Peter Baumberger"
"Melchior Ehrler","Peter Baumberger"
"Norbert Hochreutener","Peter Baumberger"
"Odilo Schmid","Peter Baumberger"
"Otto G. Loretan","Peter Baumberger"
"Hans Rudolf Gysin","Peter Bircher"
"Hansueli Raggenbass","Peter Bircher"
"Jean-Charles Simon","Peter Bircher"
"Norbert Hochreutener","Peter Bircher"
"Anita Thanei","Peter Bodenmann"
"Armin Jans","Peter Bodenmann"
"Didier Berberat","Peter Bodenmann"
"Paul Günter","Peter Bodenmann"
"Albrecht Rychen","Peter Föhn"
"Ernst Hasler","Peter Föhn"
"Flavio Maspoli","Peter Föhn"
"Hans Fehr","Peter Föhn"
"Hans Rudolf Gysin","Peter Föhn"
"Josef Kunz","Peter Föhn"
"Jürg Scherrer","Peter Föhn"
"Alexander Tschäppät","Peter Jossen-Zinsstag"
"Andrea Hämmerle","Peter Jossen-Zinsstag"
"Andreas Gross","Peter Jossen-Zinsstag"
"Claude Frey","Peter Kofmel"
"François Loeb","Peter Kofmel"
"Hans Fehr","Peter Kofmel"
"Hans Rudolf Gysin","Peter Kofmel"
"Jürg Scherrer","Peter Kofmel"
"Peter Baumberger","Peter Kofmel"
"Claude Frey","Peter Tschopp"
"François Loeb","Peter Tschopp"
"Jean-Michel Gros","Peter Tschopp"
"Agnes Weber","Peter Vollmer"
"Alexander Tschäppät","Peter Vollmer"
"Andrea Hämmerle","Peter Vollmer"
"Andreas Gross","Peter Vollmer"
"Andreas Herczog","Peter Vollmer"
"Angeline Fankhauser","Peter Vollmer"
"Anita Thanei","Peter Vollmer"
"Armin Jans","Peter Vollmer"
"Barbara Haering","Peter Vollmer"
"Christine Keller","Peter Vollmer"
"Didier Berberat","Peter Vollmer"
"Doris Stump","Peter Vollmer"
"Erwin Jutzet","Peter Vollmer"
"François Borel","Peter Vollmer"
"Hans Widmer","Peter Vollmer"
"Hans Zbinden","Peter Vollmer"
"Hildegard Fässler-Osterwalder","Peter Vollmer"
"Jacqueline Fehr","Peter Vollmer"
"Jean-Claude Rennwald","Peter Vollmer"
"Jean-Nils de Dardel","Peter Vollmer"
"Jost Gross","Peter Vollmer"
"Liliane Maury Pasquier","Peter Vollmer"
"Margrith von Felten","Peter Vollmer"
"Maria Bernasconi","Peter Vollmer"
"Paul Günter","Peter Vollmer"
"Paul Rechsteiner","Peter Vollmer"
"Flavio Maspoli","Peter Weigelt"
"Hans Fehr","Peter Weigelt"
"Hans Rudolf Gysin","Peter Weigelt"
"Josef Kunz","Peter Weigelt"
"Hans Fehr","Philippe Pidoux"
"Hansueli Raggenbass","Philippe Pidoux"
"Jürg Scherrer","Philippe Pidoux"
"Andreas Gross","Pia Hollenstein"
"Andreas Herczog","Pia Hollenstein"
"Angeline Fankhauser","Pia Hollenstein"
"Anita Thanei","Pia Hollenstein"
"Barbara Haering","Pia Hollenstein"
"Bernard Comby","Pia Hollenstein"
"Christine Goll","Pia Hollenstein"
"Flavio Maspoli","Pia Hollenstein"
"Franziska Teuscher","Pia Hollenstein"
"Fulvio Caccia","Pia Hollenstein"
"Fulvio Pelli","Pia Hollenstein"
"Hans Meier","Pia Hollenstein"
"Hans Widmer","Pia Hollenstein"
"Hans Zbinden","Pia Hollenstein"
"Hanspeter Thür","Pia Hollenstein"
"Hildegard Fässler-Osterwalder","Pia Hollenstein"
"Hugo Fasel","Pia Hollenstein"
"Jean Ziegler","Pia Hollenstein"
"Jost Gross","Pia Hollenstein"
"Paul Günter","Pia Hollenstein"
"Paul Rechsteiner","Pia Hollenstein"
"Peter Vollmer","Pia Hollenstein"
"Alexander Tschäppät","Pierre Aguet"
"Andreas Gross","Pierre Aguet"
"Anita Thanei","Pierre Aguet"
"Armin Jans","Pierre Aguet"
"Christian Grobet","Pierre Aguet"
"Christiane Jaquet-Berger","Pierre Aguet"
"Christine Keller","Pierre Aguet"
"Claude Frey","Pierre Aguet"
"Didier Berberat","Pierre Aguet"
"François Borel","Pierre Aguet"
"Hans Zbinden","Pierre Aguet"
"Jean-Claude Rennwald","Pierre Aguet"
"Jost Gross","Pierre Aguet"
"Peter Vollmer","Pierre Aguet"
"Pia Hollenstein","Pierre Aguet"
"Anita Thanei","Pierre Chiffelle"
"Armin Jans","Pierre Chiffelle"
"Didier Berberat","Pierre Chiffelle"
"François Borel","Pierre Chiffelle"
"Hans Zbinden","Pierre Chiffelle"
"Jean-Claude Rennwald","Pierre Chiffelle"
"Jost Gross","Pierre Chiffelle"
"Maria Bernasconi","Pierre Chiffelle"
"Paul Günter","Pierre Chiffelle"
"Pia Hollenstein","Pierre Chiffelle"
"Anton Schaller","Regina Ammann Schoch"
"Markus Ruf","Regina Ammann Schoch"
"Max Dünki","Regina Ammann Schoch"
"Otto Zwygart","Regina Ammann Schoch"
"Alexander Tschäppät","Regine Aeppli"
"Andreas Gross","Regine Aeppli"
"Angeline Fankhauser","Regine Aeppli"
"Anita Thanei","Regine Aeppli"
"Armin Jans","Regine Aeppli"
"Christine Keller","Regine Aeppli"
"Didier Berberat","Regine Aeppli"
"François Borel","Regine Aeppli"
"Hans Zbinden","Regine Aeppli"
"Jost Gross","Regine Aeppli"
"Maria Bernasconi","Regine Aeppli"
"Peter Vollmer","Regine Aeppli"
"Claude Frey","Remigio Ratti"
"Flavio Maspoli","Remigio Ratti"
"Jean-Charles Simon","Remigio Ratti"
"Pia Hollenstein","Remigio Ratti"
"Alexander Tschäppät","Remo Gysin"
"Andreas Gross","Remo Gysin"
"Angeline Fankhauser","Remo Gysin"
"Anita Thanei","Remo Gysin"
"Armin Jans","Remo Gysin"
"Barbara Haering","Remo Gysin"
"Christine Keller","Remo Gysin"
"Didier Berberat","Remo Gysin"
"Erwin Jutzet","Remo Gysin"
"Franco Cavalli","Remo Gysin"
"François Borel","Remo Gysin"
"Fredi Alder","Remo Gysin"
"Hans Rudolf Gysin","Remo Gysin"
"Hans Widmer","Remo Gysin"
"Hans Zbinden","Remo Gysin"
"Jacqueline Fehr","Remo Gysin"
"Jean Ziegler","Remo Gysin"
"Jean-Claude Rennwald","Remo Gysin"
"Jost Gross","Remo Gysin"
"Maria Bernasconi","Remo Gysin"
"Paul Günter","Remo Gysin"
"Peter Vollmer","Remo Gysin"
"Pia Hollenstein","Remo Gysin"
"Regine Aeppli","Remo Gysin"
"Charles Friderici","Rémy Scheurer"
"Christiane Langenberger","Rémy Scheurer"
"Christoph Eymann","Rémy Scheurer"
"Claude Frey","Rémy Scheurer"
"Daniel Vogel","Rémy Scheurer"
"Didier Berberat","Rémy Scheurer"
"Emmanuella Blaser","Rémy Scheurer"
"Hans Fehr","Rémy Scheurer"
"Hubert Lauper","Rémy Scheurer"
"Jacques-Simon Eggly","Rémy Scheurer"
"Jean-Charles Simon","Rémy Scheurer"
"Jean-Michel Gros","Rémy Scheurer"
"Jean-Nicolas Philipona","Rémy Scheurer"
"Jürg Scherrer","Rémy Scheurer"
"Liliane Maury Pasquier","Rémy Scheurer"
"Marc Frédéric Suter","Rémy Scheurer"
"Marcel Sandoz","Rémy Scheurer"
"Maria Bernasconi","Rémy Scheurer"
"Paul Rechsteiner","Rémy Scheurer"
"Flavio Maspoli","René Moser"
"Hans Fehr","René Moser"
"Hans Rudolf Gysin","René Moser"
"Josef Kunz","René Moser"
"Jürg Scherrer","René Moser"
"Albrecht Rychen","Roland F. Borer"
"Flavio Maspoli","Roland F. Borer"
"Hans Fehr","Roland F. Borer"
"Hans Rudolf Gysin","Roland F. Borer"
"Josef Kunz","Roland F. Borer"
"Jürg Scherrer","Roland F. Borer"
"Franziska Teuscher","Roland Ostermann"
"Jean-Charles Simon","Roland Ostermann"
"Jean-Michel Gros","Roland Ostermann"
"Rémy Scheurer","Roland Ostermann"
"Flavio Maspoli","Roland Wiederkehr"
"Otto Zwygart","Roland Wiederkehr"
"Regina Ammann Schoch","Roland Wiederkehr"
"Hans Werner Widrig","Rolf Engler"
"Hansueli Raggenbass","Rolf Engler"
"Peter Baumberger","Rolf Engler"
"Christian Speck","Rolf Hegetschweiler"
"Christine Egerszegi-Obrist","Rolf Hegetschweiler"
"Christoph Blocher","Rolf Hegetschweiler"
"Duri Bezzola","Rolf Hegetschweiler"
"Edi Engelberger","Rolf Hegetschweiler"
"Erich Müller","Rolf Hegetschweiler"
"Ernst Hasler","Rolf Hegetschweiler"
"Ernst Mühlemann","Rolf Hegetschweiler"
"François Loeb","Rolf Hegetschweiler"
"Georg Stucky","Rolf Hegetschweiler"
"Georges Theiler","Rolf Hegetschweiler"
"Gerold Bührer","Rolf Hegetschweiler"
"Hans Fehr","Rolf Hegetschweiler"
"Hans Rudolf Gysin","Rolf Hegetschweiler"
"Hans Steffen","Rolf Hegetschweiler"
"Hans Werner Widrig","Rolf Hegetschweiler"
"Hansueli Raggenbass","Rolf Hegetschweiler"
"J. Alexander Baumann","Rolf Hegetschweiler"
"Jakob Freund","Rolf Hegetschweiler"
"Josef Kühne","Rolf Hegetschweiler"
"Josef Kunz","Rolf Hegetschweiler"
"Jürg Scherrer","Rolf Hegetschweiler"
"Karl Tschuppert","Rolf Hegetschweiler"
"Käthi Bangerter","Rolf Hegetschweiler"
"Lisbeth Fehr","Rolf Hegetschweiler"
"Luzi Stamm","Rolf Hegetschweiler"
"Max Binder","Rolf Hegetschweiler"
"Michael E. Dreher","Rolf Hegetschweiler"
"Milli Wittenwiler","Rolf Hegetschweiler"
"Oscar Fritschi","Rolf Hegetschweiler"
"Peter Baumberger","Rolf Hegetschweiler"
"Peter Föhn","Rolf Hegetschweiler"
"Peter Hess","Rolf Hegetschweiler"
"Peter Kofmel","Rolf Hegetschweiler"
"Peter Weigelt","Rolf Hegetschweiler"
"Rémy Scheurer","Rolf Hegetschweiler"
"René Moser","Rolf Hegetschweiler"
"Roland F. Borer","Rolf Hegetschweiler"
"Rolf Engler","Rolf Hegetschweiler"
"Claude Frey","Rose-Marie Ducrot"
"Jean-Charles Simon","Rose-Marie Ducrot"
"Rémy Scheurer","Rose-Marie Ducrot"
"Franco Cavalli","Rosmarie Dormann"
"Jost Gross","Rosmarie Dormann"
"Judith Stamm","Rosmarie Dormann"
"Maria Bernasconi","Rosmarie Dormann"
"Norbert Hochreutener","Rosmarie Dormann"
"Adalbert Durrer","Rosmarie Zapfl"
"Alexander Tschäppät","Rosmarie Zapfl"
"Anita Thanei","Rosmarie Zapfl"
"Cécile Bühlmann","Rosmarie Zapfl"
"Christiane Langenberger","Rosmarie Zapfl"
"Christine Goll","Rosmarie Zapfl"
"Eugen David","Rosmarie Zapfl"
"François Lachat","Rosmarie Zapfl"
"Hans Ruckstuhl","Rosmarie Zapfl"
"Hans Werner Widrig","Rosmarie Zapfl"
"Hansueli Raggenbass","Rosmarie Zapfl"
"Hildegard Fässler-Osterwalder","Rosmarie Zapfl"
"Jean-Michel Gros","Rosmarie Zapfl"
"Jean-Philippe Maitre","Rosmarie Zapfl"
"Josef Kühne","Rosmarie Zapfl"
"Josef Leu","Rosmarie Zapfl"
"Josef Lötscher","Rosmarie Zapfl"
"Joseph Deiss","Rosmarie Zapfl"
"Margrith von Felten","Rosmarie Zapfl"
"Maria Bernasconi","Rosmarie Zapfl"
"Melchior Ehrler","Rosmarie Zapfl"
"Norbert Hochreutener","Rosmarie Zapfl"
"Odilo Schmid","Rosmarie Zapfl"
"Peter Baumberger","Rosmarie Zapfl"
"Peter Bircher","Rosmarie Zapfl"
"Pia Hollenstein","Rosmarie Zapfl"
"Regine Aeppli","Rosmarie Zapfl"
"Rolf Engler","Rosmarie Zapfl"
"Rose-Marie Ducrot","Rosmarie Zapfl"
"Rosmarie Dormann","Rosmarie Zapfl"
"Claude Frey","Rudolf Imhof"
"Hans Fehr","Rudolf Imhof"
"Hans Rudolf Gysin","Rudolf Imhof"
"Hans Werner Widrig","Rudolf Imhof"
"Hansueli Raggenbass","Rudolf Imhof"
"Norbert Hochreutener","Rudolf Imhof"
"Peter Baumberger","Rudolf Imhof"
"Rosmarie Zapfl","Rudolf Imhof"
"Flavio Maspoli","Rudolf Keller"
"Hans Fehr","Rudolf Keller"
"Hans Rudolf Gysin","Rudolf Keller"
"Jürg Scherrer","Rudolf Keller"
"Markus Ruf","Rudolf Keller"
"Alexander Tschäppät","Rudolf Rechsteiner"
"Andrea Hämmerle","Rudolf Rechsteiner"
"Andreas Gross","Rudolf Rechsteiner"
"Angeline Fankhauser","Rudolf Rechsteiner"
"Anita Thanei","Rudolf Rechsteiner"
"Armin Jans","Rudolf Rechsteiner"
"Barbara Haering","Rudolf Rechsteiner"
"Christine Keller","Rudolf Rechsteiner"
"Didier Berberat","Rudolf Rechsteiner"
"Doris Stump","Rudolf Rechsteiner"
"Erwin Jutzet","Rudolf Rechsteiner"
"Franco Cavalli","Rudolf Rechsteiner"
"François Borel","Rudolf Rechsteiner"
"Hans Rudolf Gysin","Rudolf Rechsteiner"
"Hans Widmer","Rudolf Rechsteiner"
"Hans Zbinden","Rudolf Rechsteiner"
"Hildegard Fässler-Osterwalder","Rudolf Rechsteiner"
"Jean-Claude Rennwald","Rudolf Rechsteiner"
"Jost Gross","Rudolf Rechsteiner"
"Liliane Maury Pasquier","Rudolf Rechsteiner"
"Michel Béguelin","Rudolf Rechsteiner"
"Paul Günter","Rudolf Rechsteiner"
"Regine Aeppli","Rudolf Rechsteiner"
"Remo Gysin","Rudolf Rechsteiner"
"Claude Frey","Rudolf Steiner"
"François Loeb","Rudolf Steiner"
"Hans Fehr","Rudolf Steiner"
"Hans Rudolf Gysin","Rudolf Steiner"
"Peter Baumberger","Rudolf Steiner"
"Rolf Hegetschweiler","Rudolf Steiner"
"Agnes Weber","Rudolf Strahm"
"Alexander Tschäppät","Rudolf Strahm"
"Andrea Hämmerle","Rudolf Strahm"
"Andreas Gross","Rudolf Strahm"
"Andreas Herczog","Rudolf Strahm"
"Angeline Fankhauser","Rudolf Strahm"
"Anita Thanei","Rudolf Strahm"
"Armin Jans","Rudolf Strahm"
"Barbara Haering","Rudolf Strahm"
"Boris Banga","Rudolf Strahm"
"Christian Grobet","Rudolf Strahm"
"Christiane Jaquet-Berger","Rudolf Strahm"
"Christine Goll","Rudolf Strahm"
"Christine Keller","Rudolf Strahm"
"Didier Berberat","Rudolf Strahm"
"Doris Stump","Rudolf Strahm"
"Elmar Ledergerber","Rudolf Strahm"
"Ernst Leuenberger","Rudolf Strahm"
"Erwin Jutzet","Rudolf Strahm"
"Francine Jeanprêtre","Rudolf Strahm"
"Franco Cavalli","Rudolf Strahm"
"François Borel","Rudolf Strahm"
"Fredi Alder","Rudolf Strahm"
"Hans Rudolf Gysin","Rudolf Strahm"
"Hans Widmer","Rudolf Strahm"
"Hans Zbinden","Rudolf Strahm"
"Hansueli von Allmen","Rudolf Strahm"
"Helmut Hubacher","Rudolf Strahm"
"Hildegard Fässler-Osterwalder","Rudolf Strahm"
"Jacqueline Fehr","Rudolf Strahm"
"Jean Ziegler","Rudolf Strahm"
"Jean-Claude Rennwald","Rudolf Strahm"
"Jean-Nils de Dardel","Rudolf Strahm"
"Jost Gross","Rudolf Strahm"
"Kathrin Hilber","Rudolf Strahm"
"Liliane Maury Pasquier","Rudolf Strahm"
"Margrith von Felten","Rudolf Strahm"
"Maria Bernasconi","Rudolf Strahm"
"Michel Béguelin","Rudolf Strahm"
"Paul Günter","Rudolf Strahm"
"Paul Rechsteiner","Rudolf Strahm"
"Peter Baumberger","Rudolf Strahm"
"Peter Bodenmann","Rudolf Strahm"
"Peter Jossen-Zinsstag","Rudolf Strahm"
"Peter Vollmer","Rudolf Strahm"
"Pia Hollenstein","Rudolf Strahm"
"Pierre Aguet","Rudolf Strahm"
"Regine Aeppli","Rudolf Strahm"
"Remo Gysin","Rudolf Strahm"
"Rudolf Rechsteiner","Rudolf Strahm"
"Flavio Maspoli","Ruedi Baumann"
"Franziska Teuscher","Ruedi Baumann"
"Hugo Fasel","Ruedi Baumann"
"Paul Günter","Ruedi Baumann"
"Pia Hollenstein","Ruedi Baumann"
"Hugo Fasel","Ruth Genner"
"Franco Cavalli","Ruth Gonseth"
"Franziska Teuscher","Ruth Gonseth"
"Jost Gross","Ruth Gonseth"
"Otto Zwygart","Ruth Gonseth"
"Paul Günter","Ruth Gonseth"
"Pia Hollenstein","Ruth Gonseth"
"Hansueli Raggenbass","Ruth Grossenbacher-Schmid"
"Jean-Charles Simon","Ruth Grossenbacher-Schmid"
"Norbert Hochreutener","Ruth Grossenbacher-Schmid"
"Rosmarie Zapfl","Ruth Grossenbacher-Schmid"
"Claude Frey","Ruth Kalbermatten"
"Hans Fehr","Ruth Kalbermatten"
"Agnes Weber","Ruth-Gaby Vermot-Mangold"
"Alexander Tschäppät","Ruth-Gaby Vermot-Mangold"
"Andrea Hämmerle","Ruth-Gaby Vermot-Mangold"
"Andreas Gross","Ruth-Gaby Vermot-Mangold"
"Angeline Fankhauser","Ruth-Gaby Vermot-Mangold"
"Anita Thanei","Ruth-Gaby Vermot-Mangold"
"Armin Jans","Ruth-Gaby Vermot-Mangold"
"Cécile Bühlmann","Ruth-Gaby Vermot-Mangold"
"Christiane Jaquet-Berger","Ruth-Gaby Vermot-Mangold"
"Christine Keller","Ruth-Gaby Vermot-Mangold"
"Didier Berberat","Ruth-Gaby Vermot-Mangold"
"Doris Stump","Ruth-Gaby Vermot-Mangold"
"Erwin Jutzet","Ruth-Gaby Vermot-Mangold"
"Flavio Maspoli","Ruth-Gaby Vermot-Mangold"
"Franco Cavalli","Ruth-Gaby Vermot-Mangold"
"Hans Widmer","Ruth-Gaby Vermot-Mangold"
"Hans Zbinden","Ruth-Gaby Vermot-Mangold"
"Hanspeter Thür","Ruth-Gaby Vermot-Mangold"
"Hildegard Fässler-Osterwalder","Ruth-Gaby Vermot-Mangold"
"Jean-Claude Rennwald","Ruth-Gaby Vermot-Mangold"
"Jean-Nils de Dardel","Ruth-Gaby Vermot-Mangold"
"Jost Gross","Ruth-Gaby Vermot-Mangold"
"Liliane Maury Pasquier","Ruth-Gaby Vermot-Mangold"
"Maria Bernasconi","Ruth-Gaby Vermot-Mangold"
"Paul Günter","Ruth-Gaby Vermot-Mangold"
"Paul Rechsteiner","Ruth-Gaby Vermot-Mangold"
"Peter Vollmer","Ruth-Gaby Vermot-Mangold"
"Pia Hollenstein","Ruth-Gaby Vermot-Mangold"
"Pierre Chiffelle","Ruth-Gaby Vermot-Mangold"
"Regine Aeppli","Ruth-Gaby Vermot-Mangold"
"Remo Gysin","Ruth-Gaby Vermot-Mangold"
"Rudolf Rechsteiner","Ruth-Gaby Vermot-Mangold"
"Rudolf Strahm","Ruth-Gaby Vermot-Mangold"
"Ruedi Baumann","Ruth-Gaby Vermot-Mangold"
"Ruth Gonseth","Ruth-Gaby Vermot-Mangold"
"Otto Zwygart","Samuel Meier"
"Paul Günter","Samuel Meier"
"Albrecht Rychen","Samuel Schmid"
"François Loeb","Samuel Schmid"
"Hans Fehr","Samuel Schmid"
"Hans Rudolf Gysin","Samuel Schmid"
"Hans Werner Widrig","Samuel Schmid"
"Peter Baumberger","Samuel Schmid"
"Claude Frey","Serge Beck"
"Hans Fehr","Serge Beck"
"Rémy Scheurer","Serge Beck"
"Alexander Tschäppät","Silva Semadeni"
"Andrea Hämmerle","Silva Semadeni"
"Andreas Gross","Silva Semadeni"
"Angeline Fankhauser","Silva Semadeni"
"Anita Thanei","Silva Semadeni"
"Armin Jans","Silva Semadeni"
"Barbara Haering","Silva Semadeni"
"Didier Berberat","Silva Semadeni"
"Franco Cavalli","Silva Semadeni"
"Hans Zbinden","Silva Semadeni"
"Jean-Claude Rennwald","Silva Semadeni"
"Jost Gross","Silva Semadeni"
"Paul Günter","Silva Semadeni"
"Peter Vollmer","Silva Semadeni"
"Rudolf Strahm","Silva Semadeni"
"Ruth-Gaby Vermot-Mangold","Silva Semadeni"
"Adriano Cavadini","Simon Epiney"
"Alex Heim","Simon Epiney"
"Bernard Comby","Simon Epiney"
"Brigitta M. Gadient","Simon Epiney"
"Charles Friderici","Simon Epiney"
"Charles-Albert Antille","Simon Epiney"
"Claude Frey","Simon Epiney"
"Daniel Vogel","Simon Epiney"
"Duri Bezzola","Simon Epiney"
"Emmanuella Blaser","Simon Epiney"
"Flavio Maspoli","Simon Epiney"
"Franco Donati","Simon Epiney"
"François Lachat","Simon Epiney"
"Fulvio Pelli","Simon Epiney"
"Gilbert Debons","Simon Epiney"
"Hans Fehr","Simon Epiney"
"Hans Ruckstuhl","Simon Epiney"
"Hansueli Raggenbass","Simon Epiney"
"Hubert Lauper","Simon Epiney"
"Jacques-Simon Eggly","Simon Epiney"
"Jean-Charles Simon","Simon Epiney"
"Jean-Michel Gros","Simon Epiney"
"Jean-Nicolas Philipona","Simon Epiney"
"Jean-Philippe Maitre","Simon Epiney"
"John Dupraz","Simon Epiney"
"Josef Leu","Simon Epiney"
"Josef Lötscher","Simon Epiney"
"Joseph Deiss","Simon Epiney"
"Marcel Sandoz","Simon Epiney"
"Norbert Hochreutener","Simon Epiney"
"Peter Baumberger","Simon Epiney"
"Peter Tschopp","Simon Epiney"
"Philippe Pidoux","Simon Epiney"
"Remigio Ratti","Simon Epiney"
"Rémy Scheurer","Simon Epiney"
"Rose-Marie Ducrot","Simon Epiney"
"Rosmarie Zapfl","Simon Epiney"
"Rudolf Imhof","Simon Epiney"
"Samuel Schmid","Simon Epiney"
"Serge Beck","Simon Epiney"
"Albrecht Rychen","Simon Schenk"
"Charles Friderici","Simon Schenk"
"Charles-Albert Antille","Simon Schenk"
"Christian Speck","Simon Schenk"
"Christian Waber","Simon Schenk"
"Christoph Blocher","Simon Schenk"
"Claude Frey","Simon Schenk"
"Edi Engelberger","Simon Schenk"
"Emmanuella Blaser","Simon Schenk"
"Ernst Hasler","Simon Schenk"
"Flavio Maspoli","Simon Schenk"
"Fritz Abraham Oehrli","Simon Schenk"
"Georg Stucky","Simon Schenk"
"Gerold Bührer","Simon Schenk"
"Hans Fehr","Simon Schenk"
"Hans Rudolf Gysin","Simon Schenk"
"Hans Steffen","Simon Schenk"
"Hanspeter Seiler","Simon Schenk"
"Hermann Weyeneth","Simon Schenk"
"J. Alexander Baumann","Simon Schenk"
"Jakob Freund","Simon Schenk"
"Jean-Michel Gros","Simon Schenk"
"Jean-Nicolas Philipona","Simon Schenk"
"Jean-Pierre Bonny","Simon Schenk"
"Johannes Randegger","Simon Schenk"
"Josef Kunz","Simon Schenk"
"Jürg Scherrer","Simon Schenk"
"Lisbeth Fehr","Simon Schenk"
"Luzi Stamm","Simon Schenk"
"Manfred Aregger","Simon Schenk"
"Max Binder","Simon Schenk"
"Michael E. Dreher","Simon Schenk"
"Milli Wittenwiler","Simon Schenk"
"Norbert Hochreutener","Simon Schenk"
"Peter Föhn","Simon Schenk"
"Peter Kofmel","Simon Schenk"
"Peter Weigelt","Simon Schenk"
"Rémy Scheurer","Simon Schenk"
"René Moser","Simon Schenk"
"Roland F. Borer","Simon Schenk"
"Rolf Hegetschweiler","Simon Schenk"
"Samuel Schmid","Simon Schenk"
"Serge Beck","Simon Schenk"
"Alexander Tschäppät","Stephanie Baumann"
"Andrea Hämmerle","Stephanie Baumann"
"Andreas Gross","Stephanie Baumann"
"Angeline Fankhauser","Stephanie Baumann"
"Anita Thanei","Stephanie Baumann"
"Armin Jans","Stephanie Baumann"
